ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_px_seg0,w_px_seg1,w_px_seg2,w_px_seg3,w_px_seg4,w_px_seg5,w_len,w_len_seg0,w_len_seg1,w_len_seg2,w_len_seg3,w_len_seg4,w_len_seg5,w_px_segmean,w_len_segmean,w_ring
2706,0.31236,0.35661,1.0,1.0,0.44529,0.1988,0.42195,0.50508,0.41994,0.13902,0.35366,0.4416,0.20114,0.41937,0.50256,0.41994,0.13732,0.35501,0.35366,0.38566
2707,0.16303,0.21299,1.0,1.0,0.54962,0.13253,0.13902,0.06345,0.12085,0.24634,0.21035,0.55271,0.12991,0.13732,0.06325,0.12536,0.25356,0.20864,0.21035,0.19069
2708,0.20135,0.28723,1.0,1.0,0.22081,0.36556,0.17073,0.54962,0.29909,0.15085,0.28955,0.21709,0.36239,0.16809,0.55271,0.29117,0.14587,0.29278,0.28955,0.07702
2709,0.28751,0.17785,1.0,1.0,0.29008,0.20783,0.15085,0.11168,0.17221,0.14112,0.17816,0.29117,0.20912,0.14587,0.11168,0.17208,0.13903,0.17896,0.17816,0.38091
2710,0.34448,0.37677,1.0,1.0,0.21628,0.2741,0.79512,0.29008,0.12085,0.48175,0.36315,0.21254,0.27179,0.79202,0.29117,0.12251,0.48889,0.36303,0.36315,0.36239
2711,0.33419,0.37583,1.0,1.0,0.34264,0.37651,0.48175,0.24619,0.21084,0.55718,0.37227,0.34416,0.37664,0.48889,0.25413,0.21254,0.55726,0.36919,0.37227,0.39022
2712,0.2419,0.23654,1.0,1.0,0.15522,0.34337,0.02676,0.34264,0.46386,0.1561,0.24767,0.15783,0.34245,0.02678,0.34416,0.45755,0.15726,0.24799,0.24767,0.22099
2713,0.26924,0.23875,1.0,1.0,0.23664,0.21687,0.1561,0.42239,0.19219,0.20438,0.23932,0.23875,0.22336,0.15726,0.42279,0.19259,0.20114,0.23809,0.23932,0.35518
2714,0.40194,0.3273,1.0,1.0,0.25445,0.53453,0.30414,0.23664,0.38438,0.2871,0.33276,0.24786,0.54074,0.30028,0.23875,0.38348,0.28547,0.33354,0.33276,0.41073
2715,0.19939,0.30362,1.0,1.0,0.43766,0.34639,0.2871,0.31552,0.18976,0.23844,0.30427,0.43476,0.35385,0.28547,0.31852,0.19031,0.24274,0.30248,0.30427,0.18481
2716,0.2381,0.24393,1.0,1.0,0.18066,0.2973,0.19708,0.43766,0.18318,0.17032,0.24349,0.17949,0.30313,0.19829,0.43476,0.1812,0.1641,0.24437,0.24349,0.28955
2717,0.29673,0.32804,1.0,1.0,0.65903,0.3033,0.17032,0.10204,0.31532,0.41505,0.32526,0.66268,0.2963,0.1641,0.10313,0.3094,0.41595,0.32751,0.32526,0.3264
2718,0.50553,0.5075,1.0,1.0,0.43257,0.47447,0.35854,0.65903,0.67771,0.47202,0.51396,0.43191,0.47464,0.37094,0.66268,0.68205,0.46154,0.51239,0.51396,0.51994
2719,0.71222,0.69356,1.0,1.0,0.67602,0.94895,0.47202,0.61832,0.82934,0.68856,0.70361,0.67806,0.94701,0.46154,0.61652,0.82963,0.68889,0.70554,0.70361,0.77293
2720,0.5115,0.54321,1.0,1.0,0.22646,0.64072,0.54612,0.67602,0.84132,0.40146,0.55575,0.22564,0.63248,0.54986,0.67806,0.83476,0.41368,0.55535,0.55575,0.52887
2721,0.72828,0.62357,1.0,1.0,0.61224,0.67267,0.40146,0.76276,0.85886,0.48905,0.63732,0.61652,0.67464,0.41368,0.7698,0.86097,0.48832,0.63284,0.63732,0.71662
2722,0.49118,0.48018,1.0,1.0,0.06633,0.02395,0.54015,0.61224,0.92537,0.69417,0.47778,0.06952,0.02279,0.53561,0.61652,0.92764,0.69459,0.47704,0.47778,0.52175
2723,0.5124,0.56702,1.0,1.0,0.5601,0.1403,0.69417,0.83163,0.35736,0.71046,0.5491,0.56125,0.13789,0.69459,0.83818,0.35271,0.70997,0.549,0.5491,0.45632
2724,0.81184,0.72972,1.0,1.0,0.82609,0.56119,0.64234,0.5601,0.98806,0.81509,0.73172,0.8245,0.5567,0.64217,0.56125,0.99031,0.81538,0.73214,0.73172,0.78376
2725,0.80088,0.87753,1.0,1.0,0.96164,0.70536,0.81509,0.99235,0.90419,0.86893,0.87445,0.96125,0.7094,0.81538,0.99202,0.90541,0.86325,0.87459,0.87445,0.77274
2726,0.87607,0.82151,1.0,1.0,0.81425,0.69461,0.66505,0.96164,0.87425,0.90777,0.81928,0.81368,0.69345,0.66154,0.96125,0.87635,0.9094,0.81959,0.81928,0.93343
2727,0.8302,0.81066,1.0,1.0,0.79592,0.6018,0.90777,0.91837,0.87463,0.74092,0.80807,0.79316,0.60285,0.9094,0.91966,0.87578,0.74758,0.80657,0.80807,0.87066
2728,0.82972,0.84537,1.0,1.0,1.0,1.0,0.80049,0.79592,0.74627,0.74515,0.84881,1.0,1.0,0.8,0.79316,0.74929,0.75043,0.84797,0.84881,0.83257
2729,0.91834,0.92738,1.0,1.0,1.0,1.0,0.74515,0.96419,0.90448,0.9661,0.93029,1.0,1.0,0.75043,0.96182,0.90427,0.96524,0.92999,0.93029,0.92317
2730,0.98191,0.96391,1.0,1.0,1.0,0.92582,1.0,1.0,0.83333,0.99757,0.95926,1.0,0.92308,1.0,1.0,0.83248,1.0,0.95945,0.95926,0.99782
2731,0.90272,0.93656,1.0,1.0,0.87724,1.0,0.99757,0.94373,0.9791,0.83981,0.94017,0.87521,1.0,1.0,0.94644,0.97721,0.84217,0.93958,0.94017,0.86819
2732,0.95565,0.97755,1.0,1.0,1.0,1.0,1.0,0.87724,0.99702,0.99515,0.97787,1.0,1.0,1.0,0.87521,0.99715,0.99487,0.97823,0.97787,0.9529
2733,0.99039,0.97403,1.0,1.0,1.0,1.0,0.99515,0.85385,1.0,1.0,0.97464,1.0,1.0,0.99487,0.85299,1.0,1.0,0.97483,0.97464,0.99449
2734,0.60637,0.68926,1.0,1.0,0.15385,0.50298,0.97573,1.0,0.83881,0.64649,0.68547,0.14872,0.50085,0.97379,1.0,0.83704,0.65242,0.68631,0.68547,0.63267
2735,0.36004,0.36472,1.0,1.0,0.02051,0.27893,0.64649,0.74103,0.31157,0.16707,0.36097,0.01595,0.28091,0.65242,0.73504,0.31282,0.16866,0.36093,0.36097,0.35432
2736,0.21786,0.1438,1.0,1.0,0.15857,0.1543,0.00969,0.02051,0.05935,0.44175,0.14065,0.15897,0.15726,0.01083,0.01595,0.05812,0.44274,0.14069,0.14065,0.23818
2737,0.22828,0.22095,1.0,1.0,0.20051,0.02967,0.44175,0.14872,0.10682,0.33898,0.20997,0.19601,0.0302,0.44274,0.15043,0.10313,0.33732,0.21108,0.20997,0.23818
2738,0.25915,0.27573,1.0,1.0,0.30848,0.0503,0.1937,0.20051,0.07988,0.74576,0.25821,0.30598,0.04786,0.18917,0.19601,0.07521,0.73504,0.26311,0.25821,0.23808
2739,0.84962,0.79947,1.0,1.0,0.73077,0.7071,0.74576,0.76607,0.96142,0.89346,0.79772,0.73105,0.70484,0.73504,0.76125,0.96011,0.89402,0.80076,0.79772,0.88386
2740,0.20301,0.30066,1.0,1.0,0.00256,0.0,0.9661,0.73077,0.0,0.0,0.28386,0.00399,0.0,0.96809,0.73105,0.0,0.0,0.28324,0.28386,0.083
2741,0.26029,0.13902,1.0,1.0,0.00769,0.07715,0.0,0.1671,0.17804,0.39372,0.13704,0.00741,0.07806,0.0,0.16638,0.17664,0.39373,0.13728,0.13704,0.32555
2742,0.0605,0.16887,1.0,1.0,0.65553,0.36982,0.0,0.00769,0.0,0.00484,0.17265,0.65242,0.3698,0.0,0.00741,0.0,0.00627,0.17298,0.17265,0.03533
2743,0.17783,0.14763,1.0,1.0,0.11054,0.53392,0.00484,0.01799,0.19527,0.09179,0.16068,0.11054,0.53903,0.00627,0.01937,0.19487,0.09402,0.15906,0.16068,0.14834
2744,0.57391,0.47824,1.0,1.0,0.82051,0.36982,0.86232,0.11054,0.36982,0.29056,0.47142,0.82165,0.37094,0.86553,0.11054,0.37037,0.28946,0.4706,0.47142,0.60817
2745,0.27611,0.40167,1.0,1.0,0.64433,1.0,0.29056,0.2108,0.26627,0.08475,0.41643,0.64729,1.0,0.28946,0.21026,0.26553,0.08604,0.41612,0.41643,0.21519
2746,0.88958,0.85972,1.0,1.0,0.99227,1.0,0.95411,0.64433,0.55325,0.97821,0.85404,0.99202,1.0,0.95328,0.64729,0.55385,0.97778,0.85369,0.85404,0.92906
2747,0.69151,0.61187,1.0,1.0,0.51414,1.0,0.97821,0.36504,0.72189,0.15942,0.6227,0.50883,1.0,0.97778,0.36695,0.72251,0.16011,0.62312,0.6227,0.72479
